,no,date,Date_Difference(Days),Date_Difference(Months)
0,1,11/21/2019,-159 days,-5.223926569334073
1,2,11/21/2019,-159 days,-5.223926569334073
2,3,11/21/2019,-159 days,-5.223926569334073
3,4,11/21/2019,-159 days,-5.223926569334073
4,5,11/21/2019,-159 days,-5.223926569334073
5,6,11/21/2019,-159 days,-5.223926569334073
6,7,11/21/2019,-159 days,-5.223926569334073
7,8,11/21/2019,-159 days,-5.223926569334073
8,9,11/21/2019,-159 days,-5.223926569334073
9,10,11/21/2019,-159 days,-5.223926569334073
10,11,11/21/2019,-159 days,-5.223926569334073
11,12,11/21/2019,-159 days,-5.223926569334073
12,13,11/21/2019,-159 days,-5.223926569334073
13,14,11/21/2019,-159 days,-5.223926569334073
14,15,11/21/2019,-159 days,-5.223926569334073
15,16,11/21/2019,-159 days,-5.223926569334073
16,17,11/21/2019,-159 days,-5.223926569334073
17,18,11/21/2019,-159 days,-5.223926569334073
18,19,11/21/2019,-159 days,-5.223926569334073
19,20,11/21/2019,-159 days,-5.223926569334073
20,21,11/21/2019,-159 days,-5.223926569334073
21,22,11/21/2019,-159 days,-5.223926569334073
22,23,11/21/2019,-159 days,-5.223926569334073
23,24,11/21/2019,-159 days,-5.223926569334073
24,25,11/21/2019,-159 days,-5.223926569334073
25,26,11/21/2019,-159 days,-5.223926569334073
26,27,11/21/2019,-159 days,-5.223926569334073
27,28,11/21/2019,-159 days,-5.223926569334073
28,29,11/21/2019,-159 days,-5.223926569334073
29,30,11/21/2019,-159 days,-5.223926569334073
30,31,11/21/2019,-159 days,-5.223926569334073
31,32,11/21/2019,-159 days,-5.223926569334073
32,33,11/21/2019,-159 days,-5.223926569334073
33,34,11/21/2019,-159 days,-5.223926569334073
34,35,11/21/2019,-159 days,-5.223926569334073
35,36,11/21/2019,-159 days,-5.223926569334073
36,37,11/21/2019,-159 days,-5.223926569334073
37,38,11/21/2019,-159 days,-5.223926569334073
38,39,11/21/2019,-159 days,-5.223926569334073
39,40,11/21/2019,-159 days,-5.223926569334073
40,41,11/21/2019,-159 days,-5.223926569334073
41,42,11/21/2019,-159 days,-5.223926569334073
42,43,11/21/2019,-159 days,-5.223926569334073
43,44,11/21/2019,-159 days,-5.223926569334073
44,45,11/21/2019,-159 days,-5.223926569334073
45,46,11/21/2019,-159 days,-5.223926569334073
46,47,11/21/2019,-159 days,-5.223926569334073
47,48,11/21/2019,-159 days,-5.223926569334073
48,49,11/21/2019,-159 days,-5.223926569334073
49,50,11/21/2019,-159 days,-5.223926569334073
50,51,11/21/2019,-159 days,-5.223926569334073
51,52,11/21/2019,-159 days,-5.223926569334073
52,53,11/22/2019,-158 days,-5.19107168525021
53,54,11/22/2019,-158 days,-5.19107168525021
54,55,11/22/2019,-158 days,-5.19107168525021
55,56,11/22/2019,-158 days,-5.19107168525021
56,57,11/22/2019,-158 days,-5.19107168525021
57,58,11/22/2019,-158 days,-5.19107168525021
58,59,11/22/2019,-158 days,-5.19107168525021
59,60,11/22/2019,-158 days,-5.19107168525021
60,61,11/22/2019,-158 days,-5.19107168525021
61,62,11/22/2019,-158 days,-5.19107168525021
62,63,11/22/2019,-158 days,-5.19107168525021
63,64,11/22/2019,-158 days,-5.19107168525021
64,65,11/22/2019,-158 days,-5.19107168525021
65,66,11/22/2019,-158 days,-5.19107168525021
66,67,11/22/2019,-158 days,-5.19107168525021
67,68,11/22/2019,-158 days,-5.19107168525021
68,69,11/22/2019,-158 days,-5.19107168525021
69,70,11/22/2019,-158 days,-5.19107168525021
70,71,11/22/2019,-158 days,-5.19107168525021
71,72,11/22/2019,-158 days,-5.19107168525021
72,73,11/22/2019,-158 days,-5.19107168525021
73,74,11/22/2019,-158 days,-5.19107168525021
74,75,11/22/2019,-158 days,-5.19107168525021
75,76,11/22/2019,-158 days,-5.19107168525021
76,77,11/22/2019,-158 days,-5.19107168525021
77,78,11/22/2019,-158 days,-5.19107168525021
78,79,11/22/2019,-158 days,-5.19107168525021
79,80,11/22/2019,-158 days,-5.19107168525021
80,81,11/22/2019,-158 days,-5.19107168525021
81,82,11/22/2019,-158 days,-5.19107168525021
82,83,11/22/2019,-158 days,-5.19107168525021
83,84,11/22/2019,-158 days,-5.19107168525021
84,85,11/22/2019,-158 days,-5.19107168525021
85,86,11/22/2019,-158 days,-5.19107168525021
86,87,11/22/2019,-158 days,-5.19107168525021
87,88,11/22/2019,-158 days,-5.19107168525021
88,89,11/22/2019,-158 days,-5.19107168525021
89,90,11/22/2019,-158 days,-5.19107168525021
90,91,11/22/2019,-158 days,-5.19107168525021
91,92,11/22/2019,-158 days,-5.19107168525021
92,93,11/22/2019,-158 days,-5.19107168525021
93,94,11/22/2019,-158 days,-5.19107168525021
94,95,11/22/2019,-158 days,-5.19107168525021
95,96,11/22/2019,-158 days,-5.19107168525021
96,97,11/22/2019,-158 days,-5.19107168525021
97,98,11/22/2019,-158 days,-5.19107168525021
98,99,11/22/2019,-158 days,-5.19107168525021
99,100,11/22/2019,-158 days,-5.19107168525021
100,101,11/22/2019,-158 days,-5.19107168525021
101,102,11/22/2019,-158 days,-5.19107168525021
